epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,14686.4,1.19763,4.13536,1.35774,1.50422,0.83558,0.62565,0.72667,0.47619,0.01647,0.02923,0.00228,0.0007,1.20384,3.86285,1.24521,1.69805,0.000779948,0.000779948,0.000779948
45,15016.8,1.20411,4.15109,1.39727,1.52354,0.70449,0.60962,0.70044,0.47159,0.01745,0.03601,0.00301,0.00086,1.22646,3.82835,1.31555,1.65941,0.000759318,0.000759318,0.000759318
46,15394.6,1.18203,4.17709,1.36701,1.49928,0.87587,0.60509,0.72287,0.49,0.01793,0.03129,0.00271,0.00087,1.17629,3.83457,1.21708,1.65461,0.000738689,0.000738689,0.000738689
47,15761.7,1.18855,4.1019,1.34573,1.50231,0.80212,0.64241,0.7434,0.49576,0.03074,0.0497,0.00617,0.00151,1.20471,3.81225,1.1691,1.68455,0.00071806,0.00071806,0.00071806
48,16112.5,1.16945,4.13029,1.35473,1.49521,0.78476,0.66586,0.74988,0.50817,0.02596,0.04063,0.00366,0.00105,1.14882,3.77845,1.12852,1.64598,0.000697431,0.000697431,0.000697431
49,16461.6,1.17466,4.12303,1.38058,1.48826,0.82809,0.63224,0.74169,0.49779,0.0224,0.04442,0.00368,0.00103,1.16526,3.7512,1.15284,1.64369,0.000676802,0.000676802,0.000676802
50,16807.8,1.18261,4.1315,1.36263,1.50473,0.81699,0.64297,0.73853,0.50193,0.05306,0.0583,0.01179,0.00238,1.1598,3.77696,1.16669,1.64238,0.000656173,0.000656173,0.000656173
51,17151.2,1.16217,4.12029,1.3412,1.47965,0.64486,0.64934,0.6807,0.45547,0.01926,0.03431,0.00493,0.00253,1.1863,3.82915,1.36924,1.63702,0.000635544,0.000635544,0.000635544
52,17489.2,1.19204,4.13596,1.3488,1.49093,0.80976,0.60844,0.73481,0.50033,0.03967,0.06895,0.00991,0.00249,1.15372,3.80857,1.20144,1.60178,0.000614915,0.000614915,0.000614915
53,17827,1.1523,4.09002,1.3276,1.46621,0.82075,0.63628,0.74689,0.50192,0.02366,0.04701,0.00317,0.00097,1.14642,3.75282,1.14536,1.63518,0.000594286,0.000594286,0.000594286
54,18159.5,1.18443,4.07145,1.32874,1.50919,0.87673,0.60213,0.75076,0.50793,0.02343,0.04246,0.00368,0.00116,1.16588,3.73885,1.1644,1.6224,0.000573656,0.000573656,0.000573656
55,18495.3,1.18728,4.11268,1.34632,1.50739,0.81451,0.63466,0.75036,0.51307,0.01847,0.03877,0.00353,0.00117,1.13687,3.74318,1.14612,1.60517,0.000553027,0.000553027,0.000553027
56,18823.7,1.12868,4.10257,1.30672,1.45263,0.82885,0.618,0.7444,0.52521,0.02703,0.05664,0.00436,0.00131,1.09802,3.74607,1.15289,1.60329,0.000532398,0.000532398,0.000532398
57,19148.9,1.16273,4.09395,1.34784,1.49252,0.84495,0.62645,0.75142,0.52099,0.02923,0.05468,0.00417,0.00123,1.08415,3.71593,1.09943,1.61525,0.000511769,0.000511769,0.000511769
58,19493.4,1.168,4.09772,1.34608,1.48597,0.76926,0.66268,0.73702,0.50438,0.0306,0.04996,0.00703,0.00144,1.10141,3.73284,1.14593,1.61934,0.00049114,0.00049114,0.00049114
59,19859,1.12753,4.05398,1.29463,1.4748,0.81869,0.6668,0.76523,0.52881,0.03572,0.06561,0.00719,0.00179,1.10913,3.67543,1.09553,1.5769,0.000470511,0.000470511,0.000470511
60,20227.3,1.16387,4.05266,1.34036,1.46256,0.76635,0.67956,0.76045,0.53126,0.02844,0.05222,0.00378,0.00122,1.06947,3.69737,1.14977,1.54696,0.000449882,0.000449882,0.000449882
61,20587.3,1.10751,4.04814,1.30063,1.44127,0.82875,0.64595,0.76893,0.54087,0.02933,0.05295,0.00571,0.00175,1.04781,3.68103,1.08718,1.54003,0.000429253,0.000429253,0.000429253
62,20972,1.12561,4.07219,1.29322,1.45999,0.78715,0.65603,0.75355,0.53044,0.03089,0.04707,0.00403,0.00123,1.04954,3.67972,1.09655,1.56648,0.000408623,0.000408623,0.000408623
63,21364.6,1.10064,4.05089,1.29503,1.44708,0.83832,0.62072,0.75391,0.52495,0.02902,0.05707,0.00422,0.00132,1.06996,3.6802,1.13791,1.55588,0.000387994,0.000387994,0.000387994
64,21703.8,1.10916,4.06572,1.27092,1.44979,0.79854,0.65414,0.74775,0.52444,0.02508,0.03804,0.00653,0.00163,1.10948,3.75172,1.14749,1.60467,0.000367365,0.000367365,0.000367365
65,22035.5,1.08276,4.02252,1.25707,1.43505,0.808,0.65856,0.76951,0.54635,0.04036,0.06727,0.00678,0.00186,1.05251,3.65144,1.05856,1.53462,0.000346736,0.000346736,0.000346736
66,22349.9,1.10487,4.0513,1.29273,1.42959,0.82299,0.6568,0.77091,0.5479,0.03397,0.05707,0.00513,0.00153,1.03987,3.65083,1.08092,1.52886,0.000326107,0.000326107,0.000326107
